id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,event_type-Missed Shot,event_type-Made Shot,action_type-Fadeaway Bank shot,action_type-Running Layup Shot,action_type-Jump Bank Hook Shot,action_type-Driving Floating Jump Shot,action_type-Step Back Jump shot,action_type-Slam Dunk Shot,action_type-Tip Layup Shot,action_type-Driving Dunk Shot,action_type-Hook Shot,action_type-Running Alley Oop Layup Shot,action_type-Running Tip Shot,action_type-Running Pull-Up Jump Shot,action_type-Fadeaway Jump Shot,action_type-Putback Dunk Shot,action_type-Tip Dunk Shot,action_type-Running Reverse Layup Shot,action_type-Running Finger Roll Layup Shot,action_type-Putback Layup Shot,action_type-Step Back Bank Jump Shot,action_type-No Shot,action_type-Turnaround Jump Shot,action_type-Floating Jump shot,action_type-Jump Shot,action_type-Layup Shot,action_type-Reverse Layup Shot,action_type-Turnaround Fadeaway shot,action_type-Hook Bank Shot,action_type-Driving Jump shot,action_type-Cutting Dunk Shot,action_type-Driving Hook Shot,action_type-Running Alley Oop Dunk Shot,action_type-Alley Oop Layup shot,action_type-Turnaround Bank Hook Shot,action_type-Jump Bank Shot,action_type-Reverse Dunk Shot,action_type-Driving Floating Bank Jump Shot,action_type-Turnaround Fadeaway Bank Jump Shot,action_type-Running Dunk Shot,action_type-Tip Shot,action_type-Running Jump Shot,action_type-Running Hook Shot,action_type-Putback Slam Dunk Shot,action_type-Driving Bank Hook Shot,action_type-Turnaround Hook Shot,action_type-Cutting Finger Roll Layup Shot,action_type-Running Bank shot,action_type-Pullup Jump shot,action_type-Alley Oop Dunk Shot,action_type-Reverse Slam Dunk Shot,action_type-Running Slam Dunk Shot,action_type-Driving Bank shot,action_type-Driving Slam Dunk Shot,action_type-Running Reverse Dunk Shot,action_type-Pullup Bank shot,action_type-Jump Hook Shot,action_type-Driving Reverse Dunk Shot,action_type-Driving Finger Roll Layup Shot,action_type-Dunk Shot,action_type-Turnaround Bank shot,action_type-Driving Layup Shot,action_type-Cutting Layup Shot,action_type-Driving Reverse Layup Shot,action_type-Running Bank Hook Shot,action_type-Finger Roll Layup Shot,shot_zone_basic-Left Corner 3,shot_zone_basic-Right Corner 3,shot_zone_basic-Mid-Range,shot_zone_basic-In The Paint (Non-RA),shot_zone_basic-Restricted Area,shot_zone_basic-Backcourt,shot_zone_basic-Above the Break 3,shot_zone_range-16-24 ft.,shot_zone_range-Back Court Shot,shot_zone_range-24+ ft.,shot_zone_range-Less Than 8 ft.,shot_zone_range-8-16 ft.,shot_type-3PT Field Goal,shot_type-2PT Field Goal,shot_zone_area-Right Side(R),shot_zone_area-Center(C),shot_zone_area-Left Side(L),shot_zone_area-Left Side Center(LC),shot_zone_area-Back Court(BC),shot_zone_area-Right Side Center(RC)
2052,DeShawn Stevenson,Wing,204,17.72687908496731,1.5049019607843137,4.176470588235294,1.1813725490196079,3.3137254901960786,0.3088235294117647,0.46078431372549017,0.24019607843137256,1.5147058823529411,0.8970588235294118,0.08333333333333333,0.39215686274509803,0.4803921568627451,1.196078431372549,4.5,-1.3235294117647058,93.57450980392161,102.66862745098042,0.07503431372549023,0.34558823529411764,13.870588235294115,0.020004901960784315,0.0901813725490196,0.0,8.358823529411763,0.43973529411764706,0.44421568627450975,0.13646078431372546,92.29985294117647,0.03603921568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,Eduardo Najera,Forward,53,11.816352201257862,0.9433962264150944,2.5660377358490565,0.3584905660377358,1.1886792452830188,0.1509433962264151,0.2830188679245283,0.4716981132075472,1.3018867924528301,0.6037735849056604,0.18867924528301888,0.5660377358490566,0.37735849056603776,1.7358490566037736,2.3962264150943398,-0.5849056603773585,94.25283018867927,106.088679245283,0.0677924528301887,0.24528301886792453,13.111132075471698,0.041754716981132076,0.11750943396226413,0.0,10.430188679245282,0.3564528301886792,0.370188679245283,0.11477358490566038,91.50867924528299,-0.08341509433962264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,Eddie House,Guard,63,16.024603174603175,2.0952380952380953,5.365079365079365,1.126984126984127,2.9365079365079363,0.6031746031746031,0.6349206349206349,0.15873015873015872,1.380952380952381,1.0,0.047619047619047616,0.5714285714285714,0.5238095238095238,1.1746031746031746,5.920634920634921,1.6825396825396826,101.09682539682537,102.23650793650793,0.08688888888888889,0.3968253968253968,12.429999999999998,0.011126984126984126,0.09152380952380954,0.0,8.346031746031745,0.363079365079365,0.4097142857142857,0.17666666666666664,94.2304761904762,0.039111111111111124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,Devin Harris,Guard,437,23.98356216628529,3.2494279176201375,7.695652173913044,1.0205949656750573,3.05720823798627,2.3615560640732265,2.9931350114416477,0.20137299771167047,1.8443935926773456,3.8535469107551488,0.15789473684210525,0.9267734553775744,1.5926773455377574,1.997711670480549,9.881006864988558,0.19679633867276888,105.35908045977017,105.22252873563228,0.24114482758620698,1.87151264367816,25.2705747126437,0.009234482758620688,0.08904597701149432,0.0,10.962298850574713,0.473287356321839,0.5261655172413787,0.1967540229885057,95.6489885057471,0.09445747126436771,0,0,0,0,0.42998897464167585,0.5700110253583242,0.0,0.0,0.0,0.0,0.0,0.008820286659316428,0.0,0.0,0.05402425578831312,0.006615214994487321,0.11907386990077178,0.004410143329658214,0.0,0.005512679162072767,0.002205071664829107,0.0,0.0,0.002205071664829107,0.017640573318632856,0.0,0.011025358324145534,0.5468577728776185,0.0,0.0011025358324145535,0.006615214994487321,0.0011025358324145535,0.013230429988974642,0.012127894156560088,0.0,0.06174200661521499,0.0,0.0,0.0,0.0,0.0,0.004410143329658214,0.013230429988974642,0.0,0.0,0.0,0.0033076074972436605,0.0,0.011025358324145534,0.0,0.006615214994487321,0.018743109151047408,0.0,0.0,0.0,0.0,0.03307607497243661,0.0,0.0,0.0,0.0,0.005512679162072767,0.0011025358324145535,0.0011025358324145535,0.0,0.0,0.0,0.0,0.0011025358324145535,0.026460859977949284,0.07276736493936053,0.33076074972436603,0.05292171995589857,0.012127894156560088,0.14002205071664828,0.08930540242557883,0.30209481808158767,0.013230429988974642,0.35611907386990077,0.4553472987872106,0.07056229327453142,0.10474090407938258,0.4685777287761852,0.5314222712238148,0.4553472987872106,0.013230429988974642,0.1609702315325248,0.16979051819184124,0.10584343991179714,0.09481808158765159
2072,Michael Redd,Guard,61,14.533333333333337,2.6557377049180326,6.639344262295082,0.7540983606557377,2.442622950819672,1.5081967213114753,1.8852459016393444,0.22950819672131148,1.1639344262295082,0.7377049180327869,0.01639344262295082,0.2459016393442623,0.6721311475409836,0.5409836065573771,7.573770491803279,-1.819672131147541,98.06885245901637,108.37377049180328,0.07860655737704918,0.3824590163934426,9.888524590163934,0.016573770491803277,0.10040983606557378,0.0,8.365573770491803,0.3847704918032787,0.4455245901639344,0.24781967213114756,93.94377049180329,0.09693442622950818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626143,Jahlil Okafor,Center,90,27.15797872340425,6.382978723404255,12.446808510638299,0.010638297872340425,0.06382978723404255,2.3617021276595747,3.5425531914893615,1.9787234042553192,4.191489361702128,1.0957446808510638,1.0957446808510638,0.3829787234042553,1.925531914893617,2.5425531914893615,15.138297872340425,-9.106382978723405,92.17096774193551,111.05591397849457,0.0890967741935484,0.4752688172043011,6.6655913978494645,0.07538709677419358,0.17995698924731182,0.0,11.246236559139783,0.5146236559139785,0.5390430107526881,0.2605591397849462,97.79698924731184,0.10622580645161288,0,0,0,0,0.5116822429906542,0.4883177570093458,0.0,0.012850467289719626,0.009345794392523364,0.035046728971962614,0.014018691588785047,0.0,0.015186915887850467,0.002336448598130841,0.03271028037383177,0.0,0.0630841121495327,0.010514018691588784,0.0,0.008177570093457943,0.007009345794392523,0.0,0.0,0.005841121495327103,0.007009345794392523,0.01985981308411215,0.008177570093457943,0.2967289719626168,0.01985981308411215,0.0,0.0,0.016355140186915886,0.02453271028037383,0.02453271028037383,0.0,0.14369158878504673,0.0,0.009345794392523364,0.005841121495327103,0.0,0.0,0.02336448598130841,0.007009345794392523,0.0,0.005841121495327103,0.0011682242990654205,0.02102803738317757,0.0,0.014018691588785047,0.0,0.0011682242990654205,0.0,0.0,0.0,0.0,0.0035046728971962616,0.012850467289719626,0.0,0.0,0.0,0.0,0.08411214953271028,0.0011682242990654205,0.011682242990654205,0.009345794392523364,0.0,0.0,0.0,0.0,0.011682242990654205,0.0011682242990654205,0.005841121495327103,0.0,0.0,0.2488317757009346,0.29906542056074764,0.44509345794392524,0.0,0.6366822429906542,0.007009345794392523,0.28154205607476634,0.07476635514018691,0.007009345794392523,0.9929906542056075,0.7675233644859814,0.0,0.015186915887850467,0.017523364485981307,0.07710280373831775,0.12266355140186916
1626144,Emmanuel Mudiay,Guard,112,29.49233038348082,4.530973451327434,12.389380530973451,1.0973451327433628,3.4867256637168142,2.2212389380530975,3.1238938053097347,0.5309734513274337,2.9469026548672566,4.991150442477876,0.40707964601769914,0.9203539823008849,2.938053097345133,1.991150442477876,12.380530973451327,-2.3185840707964602,103.7495575221239,110.24247787610625,0.25048672566371666,1.9696371681415927,22.66991150442478,0.0199646017699115,0.10840707964601762,0.0,13.407964601769912,0.39584070796460175,0.43604424778761053,0.24000000000000007,100.5170796460177,0.06061946902654867,0,0,0,0,0.3643162393162393,0.6356837606837606,0.0,0.0,0.0010683760683760685,0.002136752136752137,0.003205128205128205,0.005341880341880342,0.004273504273504274,0.0,0.06303418803418803,0.0010683760683760685,0.07905982905982906,0.0,0.0,0.06517094017094018,0.0010683760683760685,0.0,0.0,0.014957264957264958,0.013888888888888888,0.003205128205128205,0.0010683760683760685,0.4594017094017094,0.002136752136752137,0.0,0.0,0.0,0.024572649572649572,0.042735042735042736,0.0,0.08333333333333333,0.0,0.0010683760683760685,0.004273504273504274,0.0,0.0,0.008547008547008548,0.03311965811965812,0.0,0.0,0.0,0.00641025641025641,0.0,0.016025641025641024,0.0,0.002136752136752137,0.0,0.0,0.0,0.0,0.0010683760683760685,0.022435897435897436,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.003205128205128205,0.008547008547008548,0.0,0.0,0.002136752136752137,0.0,0.007478632478632479,0.013888888888888888,0.23504273504273504,0.007478632478632479,0.002136752136752137,0.28525641025641024,0.1452991452991453,0.3108974358974359,0.002136752136752137,0.3814102564102564,0.2564102564102564,0.17414529914529914,0.1858974358974359,0.25747863247863245,0.7425213675213675,0.5202991452991453,0.002136752136752137,0.12393162393162394,0.17094017094017094,0.08333333333333333,0.09935897435897435
1626145,Tyus Jones,Guard,72,13.230787037037029,1.3055555555555556,3.4583333333333335,0.4444444444444444,1.3333333333333333,0.6805555555555556,0.9027777777777778,0.19444444444444445,0.9027777777777778,2.5833333333333335,0.06944444444444445,0.7361111111111112,0.75,0.8472222222222222,3.736111111111111,-1.2222222222222223,101.87042253521129,107.99859154929575,0.2732535211267605,1.0,32.23197183098592,0.017732394366197186,0.07053521126760565,0.0,9.983098591549295,0.36898591549295773,0.415718309859155,0.15871830985915497,100.43957746478873,0.07560563380281689,0,0,0,0,0.358974358974359,0.6410256410256411,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.12179487179487179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.019230769230769232,0.532051282051282,0.0,0.0,0.0,0.0,0.057692307692307696,0.00641025641025641,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.01282051282051282,0.0,0.00641025641025641,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.038461538461538464,0.27564102564102566,0.02564102564102564,0.0,0.17307692307692307,0.23717948717948717,0.25,0.00641025641025641,0.3782051282051282,0.3333333333333333,0.15384615384615385,0.1282051282051282,0.33974358974358976,0.6602564102564102,0.532051282051282,0.00641025641025641,0.09615384615384616,0.16025641025641027,0.05128205128205128,0.15384615384615385
1626147,Justin Anderson,Wing,111,12.777027027027023,1.7927927927927927,4.405405405405405,0.5675675675675675,1.9639639639639639,1.1081081081081081,1.4144144144144144,0.6036036036036037,2.1171171171171173,0.6126126126126126,0.3963963963963964,0.4594594594594595,0.6216216216216216,1.09009009009009,5.261261261261262,-1.2522522522522523,97.2045871559633,105.04495412844045,0.052403669724770646,0.2048623853211009,6.577064220183486,0.03821100917431194,0.1927064220183486,0.0,9.539449541284405,0.42426605504587167,0.46999082568807327,0.20570642201834868,97.27146788990824,0.0845779816513761,0,0,0,0,0.3978494623655914,0.6021505376344086,0.005376344086021506,0.016129032258064516,0.010752688172043012,0.005376344086021506,0.010752688172043012,0.0,0.0,0.0,0.08602150537634409,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.005376344086021506,0.010752688172043012,0.5698924731182796,0.010752688172043012,0.0,0.0,0.0,0.016129032258064516,0.010752688172043012,0.0,0.03225806451612903,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.016129032258064516,0.0,0.005376344086021506,0.0,0.0,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.03763440860215054,0.0,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0913978494623656,0.2903225806451613,0.0967741935483871,0.0,0.16129032258064516,0.0913978494623656,0.26881720430107525,0.0,0.34408602150537637,0.478494623655914,0.06989247311827956,0.10752688172043011,0.478494623655914,0.521505376344086,0.46236559139784944,0.0,0.12365591397849462,0.11827956989247312,0.13440860215053763,0.16129032258064516
1626148,Anthony Brown,Forward,40,18.65583333333333,1.425,4.375,0.675,2.425,0.425,0.5,0.4,2.1,0.675,0.175,0.475,0.525,1.2,3.95,-0.725,100.37750000000003,103.60499999999999,0.045599999999999995,0.32925,8.257499999999999,0.025025000000000002,0.120025,0.0,8.535,0.39642499999999997,0.417225,0.1302,97.67499999999998,0.046275000000000004,0,0,0,0,0.3076923076923077,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7923076923076923,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.38461538461538464,0.06153846153846154,0.0,0.2076923076923077,0.08461538461538462,0.14615384615384616,0.0,0.19230769230769232,0.5615384615384615,0.1,0.14615384615384616,0.5615384615384615,0.43846153846153846,0.2846153846153846,0.0,0.2153846153846154,0.2076923076923077,0.11538461538461539,0.17692307692307693
1626149,Montrezl Harrell,Forward,87,14.221647509578544,2.793103448275862,4.344827586206897,0.011494252873563218,0.05747126436781609,1.0114942528735633,1.6666666666666667,1.0689655172413792,1.7011494252873562,0.8390804597701149,0.5172413793103449,0.3333333333333333,0.6666666666666666,1.6091954022988506,6.609195402298851,2.2873563218390807,108.01627906976744,107.30116279069765,0.0773372093023256,0.2616279069767442,11.998604651162792,0.07141860465116277,0.11388372093023257,0.0,9.401162790697674,0.5685232558139535,0.5720232558139536,0.1560348837209302,101.31418604651168,0.07506976744186049,0,0,0,0,0.6483516483516484,0.3516483516483517,0.02197802197802198,0.04395604395604396,0.01098901098901099,0.03296703296703297,0.15384615384615385,0.01098901098901099,0.0,0.0,0.0,0.01098901098901099,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.03296703296703297,0.0,0.14285714285714285,0.01098901098901099,0.0,0.0,0.07692307692307693,0.02197802197802198,0.0,0.0,0.15384615384615385,0.0,0.0,0.01098901098901099,0.0,0.0,0.01098901098901099,0.0,0.0,0.054945054945054944,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.01098901098901099,0.0,0.0,0.01098901098901099,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.07692307692307693,0.18681318681318682,0.7252747252747253,0.0,0.8681318681318682,0.01098901098901099,0.054945054945054944,0.06593406593406594,0.01098901098901099,0.989010989010989,0.945054945054945,0.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.02197802197802198
203906,Devyn Marble,Forward,44,10.074242424242426,0.7954545454545454,2.6136363636363638,0.2727272727272727,1.2272727272727273,0.3409090909090909,0.9090909090909091,0.25,1.3181818181818181,0.6590909090909091,0.06818181818181818,0.5,0.36363636363636365,0.8863636363636364,2.2045454545454546,-0.6590909090909091,87.04545454545456,102.9840909090909,0.08665909090909091,0.32954545454545453,10.545454545454545,0.014409090909090911,0.10895454545454547,0.0,7.825,0.25229545454545454,0.23447727272727273,0.14895454545454548,132.95500000000004,0.11106818181818183,0,0,0,0,0.30434782608695654,0.6956521739130435,0.0,0.0,0.008695652173913044,0.0,0.017391304347826087,0.008695652173913044,0.0,0.0,0.034782608695652174,0.0,0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,0.5739130434782609,0.0,0.0,0.0,0.0,0.0782608695652174,0.008695652173913044,0.0,0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.008695652173913044,0.0,0.008695652173913044,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.10434782608695652,0.2608695652173913,0.10434782608695652,0.0,0.16521739130434782,0.10434782608695652,0.2608695652173913,0.0,0.3391304347826087,0.46956521739130436,0.06956521739130435,0.12173913043478261,0.46956521739130436,0.5304347826086957,0.391304347826087,0.0,0.1826086956521739,0.12173913043478261,0.1391304347826087,0.16521739130434782
