id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,shot_zone_area-Right Side(R),shot_zone_area-Center(C),shot_zone_area-Left Side(L),shot_zone_area-Left Side Center(LC),shot_zone_area-Back Court(BC),shot_zone_area-Right Side Center(RC),action_type-Fadeaway Bank shot,action_type-Running Layup Shot,action_type-Jump Bank Hook Shot,action_type-Driving Floating Jump Shot,action_type-Step Back Jump shot,action_type-Slam Dunk Shot,action_type-Tip Layup Shot,action_type-Driving Dunk Shot,action_type-Hook Shot,action_type-Running Alley Oop Layup Shot,action_type-Running Tip Shot,action_type-Running Pull-Up Jump Shot,action_type-Fadeaway Jump Shot,action_type-Putback Dunk Shot,action_type-Tip Dunk Shot,action_type-Running Reverse Layup Shot,action_type-Running Finger Roll Layup Shot,action_type-Putback Layup Shot,action_type-Step Back Bank Jump Shot,action_type-No Shot,action_type-Turnaround Jump Shot,action_type-Floating Jump shot,action_type-Jump Shot,action_type-Layup Shot,action_type-Reverse Layup Shot,action_type-Turnaround Fadeaway shot,action_type-Hook Bank Shot,action_type-Driving Jump shot,action_type-Cutting Dunk Shot,action_type-Driving Hook Shot,action_type-Running Alley Oop Dunk Shot,action_type-Alley Oop Layup shot,action_type-Turnaround Bank Hook Shot,action_type-Jump Bank Shot,action_type-Reverse Dunk Shot,action_type-Driving Floating Bank Jump Shot,action_type-Turnaround Fadeaway Bank Jump Shot,action_type-Running Dunk Shot,action_type-Tip Shot,action_type-Running Jump Shot,action_type-Running Hook Shot,action_type-Putback Slam Dunk Shot,action_type-Driving Bank Hook Shot,action_type-Turnaround Hook Shot,action_type-Cutting Finger Roll Layup Shot,action_type-Running Bank shot,action_type-Pullup Jump shot,action_type-Alley Oop Dunk Shot,action_type-Reverse Slam Dunk Shot,action_type-Running Slam Dunk Shot,action_type-Driving Bank shot,action_type-Driving Slam Dunk Shot,action_type-Running Reverse Dunk Shot,action_type-Pullup Bank shot,action_type-Jump Hook Shot,action_type-Driving Reverse Dunk Shot,action_type-Driving Finger Roll Layup Shot,action_type-Dunk Shot,action_type-Turnaround Bank shot,action_type-Driving Layup Shot,action_type-Cutting Layup Shot,action_type-Driving Reverse Layup Shot,action_type-Running Bank Hook Shot,action_type-Finger Roll Layup Shot,shot_zone_range-16-24 ft.,shot_zone_range-Back Court Shot,shot_zone_range-24+ ft.,shot_zone_range-Less Than 8 ft.,shot_zone_range-8-16 ft.,shot_zone_basic-Left Corner 3,shot_zone_basic-Right Corner 3,shot_zone_basic-Mid-Range,shot_zone_basic-In The Paint (Non-RA),shot_zone_basic-Restricted Area,shot_zone_basic-Backcourt,shot_zone_basic-Above the Break 3,event_type-Missed Shot,event_type-Made Shot,shot_type-3PT Field Goal,shot_type-2PT Field Goal
708,Kevin Garnett,Forward,66,20.333333333333325,2.8636363636363638,6.333333333333333,0.0,0.07575757575757576,0.8333333333333334,1.0606060606060606,1.196969696969697,5.363636363636363,1.4545454545454546,0.6818181818181818,0.7878787878787878,1.2424242424242424,2.242424242424242,6.5606060606060606,-0.48484848484848486,100.4469696969697,101.6378787878788,0.12357575757575759,0.7333333333333333,14.7,0.06574242424242425,0.315530303030303,0.0,13.525757575757575,0.47243939393939377,0.4992272727272728,0.1917272727272727,92.12469696969697,0.12351515151515151,0,0,0,0,0.09026128266033254,0.4655581947743468,0.19714964370546317,0.13064133016627077,0.0,0.1163895486935867,0.007125890736342043,0.0,0.0,0.0,0.028503562945368172,0.0,0.007125890736342043,0.0,0.014251781472684086,0.0,0.0,0.0,0.019002375296912115,0.0023752969121140144,0.0,0.0,0.0,0.0023752969121140144,0.0,0.0,0.08788598574821853,0.0023752969121140144,0.6223277909738717,0.07600950118764846,0.009501187648456057,0.030878859857482184,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0023752969121140144,0.0,0.011876484560570071,0.0,0.0,0.0,0.0023752969121140144,0.023752969121140142,0.0023752969121140144,0.0023752969121140144,0.0,0.0,0.0023752969121140144,0.0,0.0,0.009501187648456057,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011876484560570071,0.007125890736342043,0.004750593824228029,0.0023752969121140144,0.0,0.0,0.0023752969121140144,0.5391923990498813,0.0,0.019002375296912115,0.23515439429928742,0.20665083135391923,0.0,0.007125890736342043,0.6555819477434679,0.166270783847981,0.15914489311163896,0.0,0.011876484560570071,0.5320665083135392,0.4679334916864608,0.019002375296912115,0.9809976247030879
951,Ray Allen,Guard,93,26.302150537634407,3.193548387096774,7.311827956989247,1.6021505376344085,4.225806451612903,1.4946236559139785,1.6451612903225807,0.3763440860215054,2.5376344086021505,1.881720430107527,0.12903225806451613,0.7311827956989247,1.1612903225806452,1.6666666666666667,9.483870967741936,2.225806451612903,109.53655913978493,104.84623655913977,0.11558064516129035,0.7723655913978495,16.703225806451613,0.01797849462365592,0.11753763440860213,0.0,10.125806451612902,0.5275053763440861,0.5694193548387098,0.1703548387096774,91.34967741935485,0.08701075268817207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,Steve Nash,Guard,15,20.672222222222224,2.4,6.266666666666667,0.5333333333333333,1.6,1.4666666666666666,1.6,0.26666666666666666,1.6666666666666667,5.733333333333333,0.13333333333333333,0.4666666666666667,2.066666666666667,1.2,6.8,-4.333333333333333,98.64666666666668,110.07999999999998,0.41646666666666665,2.7559333333333336,39.60666666666666,0.014133333333333335,0.08639999999999999,0.0,14.706666666666667,0.44553333333333334,0.5054000000000001,0.17820000000000003,103.84400000000001,0.08373333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,Derek Fisher,Guard,100,17.019000000000005,1.63,4.31,0.99,2.67,0.7,0.86,0.18,1.37,1.33,0.03,0.83,0.55,1.83,4.95,1.98,106.94499999999995,100.62199999999997,0.11551,0.455,18.436999999999998,0.01254,0.09219,0.0,7.945,0.4704300000000001,0.49422000000000016,0.13818000000000003,96.09570000000002,0.045199999999999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,Kobe Bryant,Wing,6,29.652777777777775,5.166666666666667,12.166666666666666,0.5,2.6666666666666665,3.0,3.5,0.3333333333333333,4.0,6.333333333333333,0.16666666666666666,1.1666666666666667,5.666666666666667,1.5,13.833333333333334,-5.333333333333333,97.01666666666667,108.39999999999999,0.36833333333333335,1.1166666666666667,24.200000000000003,0.014166666666666666,0.14266666666666666,0.0,21.933333333333334,0.41900000000000004,0.4785,0.291,98.16666666666667,0.09350000000000001,0,0,0,0,0.16819407008086254,0.3423180592991914,0.11212938005390835,0.17142857142857143,0.001078167115902965,0.20485175202156333,0.0016172506738544475,0.003234501347708895,0.0,0.0026954177897574125,0.01725067385444744,0.001078167115902965,0.001078167115902965,0.0026954177897574125,0.0026954177897574125,0.0,0.0,0.00215633423180593,0.044743935309973046,0.0,0.0,0.0005390835579514825,0.0005390835579514825,0.001078167115902965,0.0,0.0,0.04043126684636118,0.0037735849056603774,0.5989218328840971,0.04743935309973046,0.00646900269541779,0.052830188679245285,0.0,0.0,0.0,0.003234501347708895,0.0,0.0,0.0,0.009703504043126684,0.0,0.0005390835579514825,0.0005390835579514825,0.001078167115902965,0.001078167115902965,0.00431266846361186,0.0,0.0,0.0,0.0026954177897574125,0.0005390835579514825,0.0005390835579514825,0.08787061994609165,0.0005390835579514825,0.001078167115902965,0.0,0.0,0.0,0.0,0.001078167115902965,0.0026954177897574125,0.0,0.00215633423180593,0.0005390835579514825,0.00215633423180593,0.03450134770889488,0.003234501347708895,0.008086253369272238,0.0,0.0005390835579514825,0.24204851752021564,0.001078167115902965,0.35633423180592994,0.18867924528301888,0.21185983827493263,0.01725067385444744,0.029110512129380053,0.38113207547169814,0.12830188679245283,0.13315363881401618,0.001078167115902965,0.30997304582210244,0.6350404312668464,0.36495956873315366,0.35795148247978437,0.6420485175202156
979,Jermaine O'Neal,Center,51,18.73856209150327,2.803921568627451,5.490196078431373,0.0,0.0,2.0588235294117645,2.7450980392156863,1.9019607843137254,3.3137254901960786,0.5098039215686274,0.8431372549019608,0.29411764705882354,1.0980392156862746,2.235294117647059,7.666666666666667,-0.5882352941176471,98.42549019607843,100.52549019607844,0.0421764705882353,0.2613725490196078,5.63921568627451,0.11547058823529414,0.1840588235294117,0.0,14.298039215686275,0.45798039215686276,0.534549019607843,0.18650980392156863,97.71215686274509,0.04084313725490199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,Tim Duncan,Center,97,29.996907216494844,6.11340206185567,12.278350515463918,0.0,0.07216494845360824,3.1649484536082473,4.288659793814433,2.2989690721649483,7.309278350515464,2.731958762886598,1.731958762886598,0.5154639175257731,1.907216494845361,1.907216494845361,15.391752577319588,4.618556701030927,108.69484536082477,100.05257731958761,0.1396907216494845,1.0076288659793813,14.529896907216498,0.08928865979381445,0.2681443298969072,0.0,9.705154639175257,0.49818556701030925,0.5443092783505157,0.24649484536082475,95.96824742268043,0.15352577319587635,0,0,0,0,0.06807511737089202,0.7300469483568075,0.11580594679186229,0.03990610328638498,0.002347417840375587,0.04381846635367762,0.004694835680751174,0.006259780907668232,0.001564945226917058,0.002347417840375587,0.004694835680751174,0.003129890453834116,0.018779342723004695,0.001564945226917058,0.03129890453834116,0.0,0.0,0.0,0.006259780907668232,0.002347417840375587,0.0,0.0,0.0,0.00782472613458529,0.0,0.0,0.046948356807511735,0.012519561815336464,0.37245696400625977,0.19718309859154928,0.017214397496087636,0.007042253521126761,0.003129890453834116,0.001564945226917058,0.0,0.003912363067292645,0.0,0.00782472613458529,0.001564945226917058,0.06807511737089202,0.0,0.0,0.002347417840375587,0.003129890453834116,0.02190923317683881,0.01564945226917058,0.001564945226917058,0.0,0.0,0.009389671361502348,0.003912363067292645,0.00782472613458529,0.001564945226917058,0.000782472613458529,0.0,0.0,0.003912363067292645,0.000782472613458529,0.0,0.0,0.00782472613458529,0.0,0.001564945226917058,0.028951486697965573,0.033646322378716745,0.011737089201877934,0.006259780907668232,0.0,0.001564945226917058,0.005477308294209703,0.1564945226917058,0.002347417840375587,0.004694835680751174,0.622848200312989,0.2136150234741784,0.001564945226917058,0.0,0.28325508607198746,0.3145539906103286,0.3951486697965571,0.002347417840375587,0.003129890453834116,0.49765258215962443,0.5023474178403756,0.007042253521126761,0.9929577464788732
1497,Chauncey Billups,Guard,19,15.945614035087715,1.263157894736842,4.157894736842105,0.7368421052631579,2.526315789473684,0.5263157894736842,0.631578947368421,0.21052631578947367,1.263157894736842,2.210526315789474,0.05263157894736842,0.42105263157894735,1.3157894736842106,1.3157894736842106,3.789473684210526,-2.210526315789474,95.89999999999998,107.97368421052634,0.19447368421052633,1.4300000000000002,25.510526315789477,0.013157894736842105,0.08363157894736842,0.0,17.678947368421053,0.34494736842105267,0.36236842105263156,0.16210526315789475,94.95578947368422,0.01157894736842106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,Vince Carter,Wing,88,24.5155303030303,4.1022727272727275,9.988636363636363,1.8295454545454546,4.568181818181818,1.9545454545454546,2.3863636363636362,0.8409090909090909,2.6704545454545454,2.602272727272727,0.42045454545454547,0.7272727272727273,1.2954545454545454,2.5113636363636362,11.988636363636363,2.3295454545454546,107.62727272727267,104.46363636363634,0.1626704545454546,1.082840909090909,17.254545454545454,0.03629545454545455,0.12278409090909093,0.0,8.643181818181818,0.49174999999999985,0.5308977272727273,0.22678409090909096,96.04443181818182,0.0968295454545455,0,0,0,0,0.10290237467018469,0.3891820580474934,0.10686015831134564,0.1662269129287599,0.0079155672823219,0.22691292875989447,0.002638522427440633,0.002638522427440633,0.0,0.0,0.029023746701846966,0.002638522427440633,0.014511873350923483,0.006596306068601583,0.0,0.0,0.0,0.0,0.0395778364116095,0.0,0.0,0.0013192612137203166,0.0,0.0079155672823219,0.0,0.0,0.013192612137203167,0.009234828496042216,0.6385224274406333,0.047493403693931395,0.005277044854881266,0.009234828496042216,0.0,0.0013192612137203166,0.005277044854881266,0.0,0.0,0.002638522427440633,0.0,0.0013192612137203166,0.0013192612137203166,0.002638522427440633,0.0,0.0013192612137203166,0.011873350923482849,0.017150395778364115,0.0,0.0,0.002638522427440633,0.0,0.0,0.002638522427440633,0.04353562005277045,0.0013192612137203166,0.0,0.0,0.00395778364116095,0.002638522427440633,0.0,0.002638522427440633,0.0,0.0,0.005277044854881266,0.009234828496042216,0.0013192612137203166,0.0395778364116095,0.002638522427440633,0.006596306068601583,0.0,0.0013192612137203166,0.14643799472295516,0.0079155672823219,0.5277044854881267,0.23482849604221637,0.08311345646437995,0.047493403693931395,0.040897097625329816,0.19920844327176782,0.079155672823219,0.18601583113456466,0.0079155672823219,0.4393139841688654,0.6437994722955145,0.3562005277044855,0.5356200527704486,0.46437994722955145
1717,Dirk Nowitzki,Forward,87,33.327969348658996,7.896551724137931,16.080459770114942,1.5172413793103448,3.9195402298850577,4.172413793103448,4.67816091954023,0.5172413793103449,5.850574712643678,2.6091954022988504,0.5862068965517241,0.9080459770114943,1.5172413793103448,2.1264367816091956,21.482758620689655,3.3563218390804597,110.2873563218391,106.38505747126435,0.13290804597701159,1.3689655172413795,11.52528735632184,0.017505747126436776,0.20791954022988496,0.0,6.732183908045977,0.5418735632183908,0.5970344827586204,0.26837931034482754,95.10229885057473,0.15297701149425294,0,0,0,0,0.1801185590515276,0.3602371181030552,0.18695850433196534,0.13178294573643412,0.0,0.1409028727770178,0.004559963520291838,0.004103967168262654,0.0,0.0013679890560875513,0.034655722754217966,0.0,0.00364797081623347,0.0013679890560875513,0.0009119927040583675,0.0,0.0,0.0,0.07934336525307797,0.0,0.0,0.0,0.0009119927040583675,0.004103967168262654,0.00045599635202918376,0.0,0.049247606019151846,0.00364797081623347,0.6479708162334701,0.023711810305517556,0.0013679890560875513,0.06657546739626083,0.0,0.001823985408116735,0.00045599635202918376,0.002279981760145919,0.0,0.00045599635202918376,0.0,0.010031919744642043,0.0,0.00045599635202918376,0.0009119927040583675,0.0009119927040583675,0.0009119927040583675,0.0013679890560875513,0.0009119927040583675,0.0,0.0,0.0027359781121751026,0.0009119927040583675,0.00045599635202918376,0.013679890560875513,0.0,0.0,0.0009119927040583675,0.0013679890560875513,0.0,0.0,0.00045599635202918376,0.0,0.0,0.004559963520291838,0.00045599635202918376,0.004103967168262654,0.015503875968992248,0.0027359781121751026,0.00045599635202918376,0.0,0.0031919744642042863,0.30551755585955315,0.0,0.28499772001823986,0.10989512083903329,0.29958960328317374,0.01823985408116735,0.004559963520291838,0.5426356589147286,0.09165526675786594,0.08071135430916553,0.0,0.26219790241678065,0.5471956224350205,0.4528043775649795,0.28499772001823986,0.7150022799817601
