Polarity,Method,K,Feature Set,Season
0.8799805636540331,Single-Link,8,0,2016
0.8799805636540331,Single-Link,8,1,2016
0.8799805636540331,Single-Link,8,2,2016
0.8799805636540331,Single-Link,8,3,2016
0.8799805636540331,Single-Link,8,6,2016
0.8799805636540331,Single-Link,8,0 1,2016
0.8799805636540331,Single-Link,8,0 2,2016
0.8799805636540331,Single-Link,8,0 3,2016
0.8799805636540331,Single-Link,8,0 6,2016
0.8799805636540331,Single-Link,8,1 2,2016
0.8799805636540331,Single-Link,8,1 3,2016
0.8799805636540331,Single-Link,8,1 6,2016
0.8799805636540331,Single-Link,8,2 3,2016
0.8799805636540331,Single-Link,8,2 6,2016
0.8799805636540331,Single-Link,8,3 6,2016
0.8799805636540331,Single-Link,8,0 1 2,2016
0.8799805636540331,Single-Link,8,0 1 3,2016
0.8799805636540331,Single-Link,8,0 1 6,2016
0.8799805636540331,Single-Link,8,0 2 3,2016
0.8799805636540331,Single-Link,8,0 2 6,2016
0.8799805636540331,Single-Link,8,0 3 6,2016
0.8799805636540331,Single-Link,8,1 2 3,2016
0.8799805636540331,Single-Link,8,1 2 6,2016
0.8799805636540331,Single-Link,8,1 3 6,2016
0.8799805636540331,Single-Link,8,2 3 6,2016
0.8799805636540331,Single-Link,8,0 1 2 3,2016
0.8799805636540331,Single-Link,8,0 1 2 6,2016
0.8799805636540331,Single-Link,8,0 1 3 6,2016
0.8799805636540331,Single-Link,8,0 2 3 6,2016
0.8799805636540331,Single-Link,8,1 2 3 6,2016
0.8799805636540331,Single-Link,8,0 1 2 3 6,2016
0.8779217479674797,Single-Link,8,0,2013
0.8779217479674797,Single-Link,8,1,2013
0.8779217479674797,Single-Link,8,2,2013
0.8779217479674797,Single-Link,8,3,2013
0.8779217479674797,Single-Link,8,6,2013
0.8779217479674797,Single-Link,8,0 1,2013
0.8779217479674797,Single-Link,8,0 2,2013
0.8779217479674797,Single-Link,8,0 3,2013
0.8779217479674797,Single-Link,8,0 6,2013
0.8779217479674797,Single-Link,8,1 2,2013
0.8779217479674797,Single-Link,8,1 3,2013
0.8779217479674797,Single-Link,8,1 6,2013
0.8779217479674797,Single-Link,8,2 3,2013
0.8779217479674797,Single-Link,8,2 6,2013
0.8779217479674797,Single-Link,8,3 6,2013
0.8779217479674797,Single-Link,8,0 1 2,2013
0.8779217479674797,Single-Link,8,0 1 3,2013
0.8779217479674797,Single-Link,8,0 1 6,2013
0.8779217479674797,Single-Link,8,0 2 3,2013
0.8779217479674797,Single-Link,8,0 2 6,2013
0.8779217479674797,Single-Link,8,0 3 6,2013
0.8779217479674797,Single-Link,8,1 2 3,2013
0.8779217479674797,Single-Link,8,1 2 6,2013
0.8779217479674797,Single-Link,8,1 3 6,2013
0.8779217479674797,Single-Link,8,2 3 6,2013
0.8779217479674797,Single-Link,8,0 1 2 3,2013
0.8779217479674797,Single-Link,8,0 1 2 6,2013
0.8779217479674797,Single-Link,8,0 1 3 6,2013
0.8779217479674797,Single-Link,8,0 2 3 6,2013
0.8779217479674797,Single-Link,8,1 2 3 6,2013
0.8779217479674797,Single-Link,8,0 1 2 3 6,2013
0.8626799557032115,Single-Link,7,0,2016
0.8626799557032115,Single-Link,7,1,2016
0.8626799557032115,Single-Link,7,2,2016
0.8626799557032115,Single-Link,7,3,2016
0.8626799557032115,Single-Link,7,6,2016
0.8626799557032115,Single-Link,7,0 1,2016
0.8626799557032115,Single-Link,7,0 2,2016
0.8626799557032115,Single-Link,7,0 3,2016
0.8626799557032115,Single-Link,7,0 6,2016
0.8626799557032115,Single-Link,7,1 2,2016
0.8626799557032115,Single-Link,7,1 3,2016
0.8626799557032115,Single-Link,7,1 6,2016
0.8626799557032115,Single-Link,7,2 3,2016
0.8626799557032115,Single-Link,7,2 6,2016
0.8626799557032115,Single-Link,7,3 6,2016
0.8626799557032115,Single-Link,7,0 1 2,2016
0.8626799557032115,Single-Link,7,0 1 3,2016
0.8626799557032115,Single-Link,7,0 1 6,2016
0.8626799557032115,Single-Link,7,0 2 3,2016
0.8626799557032115,Single-Link,7,0 2 6,2016
0.8626799557032115,Single-Link,7,0 3 6,2016
0.8626799557032115,Single-Link,7,1 2 3,2016
0.8626799557032115,Single-Link,7,1 2 6,2016
0.8626799557032115,Single-Link,7,1 3 6,2016
0.8626799557032115,Single-Link,7,2 3 6,2016
0.8626799557032115,Single-Link,7,0 1 2 3,2016
0.8626799557032115,Single-Link,7,0 1 2 6,2016
0.8626799557032115,Single-Link,7,0 1 3 6,2016
0.8626799557032115,Single-Link,7,0 2 3 6,2016
0.8626799557032115,Single-Link,7,1 2 3 6,2016
0.8626799557032115,Single-Link,7,0 1 2 3 6,2016
0.8607613258069186,Single-Link,7,0,2013
0.8607613258069186,Single-Link,7,1,2013
0.8607613258069186,Single-Link,7,2,2013
0.8607613258069186,Single-Link,7,3,2013
0.8607613258069186,Single-Link,7,6,2013
0.8607613258069186,Single-Link,7,0 1,2013
0.8607613258069186,Single-Link,7,0 2,2013
0.8607613258069186,Single-Link,7,0 3,2013
0.8607613258069186,Single-Link,7,0 6,2013
0.8607613258069186,Single-Link,7,1 2,2013
0.8607613258069186,Single-Link,7,1 3,2013
0.8607613258069186,Single-Link,7,1 6,2013
0.8607613258069186,Single-Link,7,2 3,2013
0.8607613258069186,Single-Link,7,2 6,2013
0.8607613258069186,Single-Link,7,3 6,2013
0.8607613258069186,Single-Link,7,0 1 2,2013
0.8607613258069186,Single-Link,7,0 1 3,2013
0.8607613258069186,Single-Link,7,0 1 6,2013
0.8607613258069186,Single-Link,7,0 2 3,2013
0.8607613258069186,Single-Link,7,0 2 6,2013
0.8607613258069186,Single-Link,7,0 3 6,2013
0.8607613258069186,Single-Link,7,1 2 3,2013
0.8607613258069186,Single-Link,7,1 2 6,2013
0.8607613258069186,Single-Link,7,1 3 6,2013
0.8607613258069186,Single-Link,7,2 3 6,2013
0.8607613258069186,Single-Link,7,0 1 2 3,2013
0.8607613258069186,Single-Link,7,0 1 2 6,2013
0.8607613258069186,Single-Link,7,0 1 3 6,2013
0.8607613258069186,Single-Link,7,0 2 3 6,2013
0.8607613258069186,Single-Link,7,1 2 3 6,2013
0.8607613258069186,Single-Link,7,0 1 2 3 6,2013
0.8425675675675676,Single-Link,4,0,2015
0.8425675675675676,Single-Link,4,1,2015
0.8425675675675676,Single-Link,4,2,2015
0.8425675675675676,Single-Link,4,3,2015
0.8425675675675676,Single-Link,4,6,2015
0.8425675675675676,Single-Link,4,0 1,2015
0.8425675675675676,Single-Link,4,0 2,2015
0.8425675675675676,Single-Link,4,0 3,2015
0.8425675675675676,Single-Link,4,0 6,2015
0.8425675675675676,Single-Link,4,1 2,2015
0.8425675675675676,Single-Link,4,1 3,2015
0.8425675675675676,Single-Link,4,1 6,2015
0.8425675675675676,Single-Link,4,2 3,2015
0.8425675675675676,Single-Link,4,2 6,2015
0.8425675675675676,Single-Link,4,3 6,2015
0.8425675675675676,Single-Link,4,0 1 2,2015
0.8425675675675676,Single-Link,4,0 1 3,2015
0.8425675675675676,Single-Link,4,0 1 6,2015
0.8425675675675676,Single-Link,4,0 2 3,2015
0.8425675675675676,Single-Link,4,0 2 6,2015
0.8425675675675676,Single-Link,4,0 3 6,2015
0.8425675675675676,Single-Link,4,1 2 3,2015
0.8425675675675676,Single-Link,4,1 2 6,2015
0.8425675675675676,Single-Link,4,1 3 6,2015
0.8425675675675676,Single-Link,4,2 3 6,2015
0.8425675675675676,Single-Link,4,0 1 2 3,2015
0.8425675675675676,Single-Link,4,0 1 2 6,2015
0.8425675675675676,Single-Link,4,0 1 3 6,2015
0.8425675675675676,Single-Link,4,0 2 3 6,2015
0.8425675675675676,Single-Link,4,1 2 3 6,2015
0.8425675675675676,Single-Link,4,0 1 2 3 6,2015
0.8400966183574878,Single-Link,6,0,2016
0.8400966183574878,Single-Link,6,1,2016
0.8400966183574878,Single-Link,6,2,2016
0.8400966183574878,Single-Link,6,3,2016
0.8400966183574878,Single-Link,6,6,2016
0.8400966183574878,Single-Link,6,0 1,2016
0.8400966183574878,Single-Link,6,0 2,2016
0.8400966183574878,Single-Link,6,0 3,2016
0.8400966183574878,Single-Link,6,0 6,2016
0.8400966183574878,Single-Link,6,1 2,2016
0.8400966183574878,Single-Link,6,1 3,2016
0.8400966183574878,Single-Link,6,1 6,2016
0.8400966183574878,Single-Link,6,2 3,2016
0.8400966183574878,Single-Link,6,2 6,2016
0.8400966183574878,Single-Link,6,3 6,2016
0.8400966183574878,Single-Link,6,0 1 2,2016
0.8400966183574878,Single-Link,6,0 1 3,2016
0.8400966183574878,Single-Link,6,0 1 6,2016
0.8400966183574878,Single-Link,6,0 2 3,2016
0.8400966183574878,Single-Link,6,0 2 6,2016
0.8400966183574878,Single-Link,6,0 3 6,2016
0.8400966183574878,Single-Link,6,1 2 3,2016
0.8400966183574878,Single-Link,6,1 2 6,2016
